,suggested_price,current_price
238266,67.18456909506281,53
745220,157.08823641273477,131
862524,182.68944585051,159
887953,162.46496510793793,400
1186539,160.1236973725592,130
2433397,151.5639404297244,183
3243398,139.07409620762763,96
3382429,67.20331967263279,23
3535864,150.3036448461773,136
4208455,149.1299107229417,146
4344409,182.39862597386087,170
4794746,70.11036918247835,56
5248745,149.43398409886885,149
5477175,68.303862411523,39
5495932,146.43877100901085,97
6487044,157.1079716469569,131
6778044,69.22568377504746,99
9600851,159.47095387197407,141
9819250,194.06090515594283,315
10024214,96.08316396052027,85
11166908,65.95216256037858,45
11662476,61.84128049864874,39
12816386,183.15175217098528,144
13571420,148.9859863608462,121
13822329,61.87886194528956,120
14073807,62.31524985479878,82
14161568,67.15487045559416,30
14352069,148.91797202919508,141
14434534,205.32119256500997,246
15370510,159.94575623805954,146
16116128,160.08912308551024,112
16255854,67.08013616533887,20
16390841,159.2998139609235,143
16511229,61.835578713152536,75
16786316,61.72598077733889,21
17325123,62.391425134412444,53
18000525,133.54628248471357,51
18455442,59.0055472731072,13
18590075,61.70562971121346,46
18869364,188.64459284450504,367
18918153,229.34848765158034,359
19373734,61.83440228954303,39
20106854,75.59295252985639,38
20696075,62.38932534912243,45
21000077,62.02831887669333,40
22374774,179.4586031105904,89
22375775,179.4586031105904,84
22729222,88.7720203539208,50
22768244,60.40866643035038,54
22863121,66.98776190304811,26
23161597,62.971579924303896,35
24168547,67.1905094983045,49
24448280,175.9639483917506,9
24448306,180.90635954953802,9
24747942,154.44054467738428,108
24840696,181.66454669512626,271
25477204,233.93320284923115,366
25477538,299.46872845096925,369
25478112,238.3637873800126,373
25523861,151.93965124290537,86
25809310,67.40208834001004,41
26114639,178.85727607031686,90
26426826,149.75316445912358,109
26547342,96.04101048601646,50
27025305,68.31506436251627,36
27133719,62.368676281245754,50
27226488,63.34334001001254,82
27662195,66.76205818549461,29
27945291,182.12007555335845,168
27945569,195.45348429928384,204
27945656,195.45348429928384,186
27945838,182.12007555335845,168
27950247,195.45348429928384,186
27950479,195.45348429928384,208
27950703,195.45348429928384,208
27950936,207.8899102474483,244
27951003,195.45348429928384,226
29115192,196.37603560504294,250
29115387,154.2276955498701,242
29527929,191.07716365290423,184
29677967,159.49018404409918,147
29870037,183.1165732586245,28
31273893,177.2720463461979,147
32706948,89.22380035997375,125
32757951,61.84838888748082,64
32905233,88.67688086526032,80
33086613,145.04149205744613,39
33440065,62.518355449303016,24
33774105,102.66835319623394,83
34254868,62.91930617023255,85
34302718,188.98808586722356,365
34303018,162.90565460338954,305
34358699,285.19020233121535,565
34496675,151.53697056345092,154
34613534,63.22452405026054,30
34632240,152.56330459955933,84
35268996,96.60887598169418,138
35298099,62.38932534912243,65
35674446,67.00920109277568,33
35833378,102.66835319623394,186
35838746,83.15655437314047,186
35905580,102.5901098266047,155
35906592,110.19816120540804,195
36022888,163.86986075193414,195
36048626,62.16978242432118,35
36125823,62.07494683185403,15
36183899,66.79630754955048,40
36290716,151.4924659746266,106
36305733,59.132811424355765,45
36488815,182.12007555335845,159
36501879,67.16558897926907,50
36574968,169.47103491361187,21
36636996,88.70940130296005,50
37105375,64.81595956307719,30
37447935,75.45054390880006,30
37622508,159.15153294251277,140
37716906,62.39164759349639,70
38129421,63.28252771087481,33
38253200,68.51580742430136,30
38888463,68.19997878072523,38
39290612,75.16605054163182,54
39404484,464.9924619030828,132
39545850,87.13540860561184,55
39571959,87.22538450351325,100
39624156,82.23152327036745,85
39692277,149.87122223942333,197
39697838,74.91262274458902,58
40000102,63.35990253101005,70
40408314,81.85779915129878,23
41121204,64.66502489778863,200
41361633,88.73074412084213,57
41426668,88.67688086526032,50
41443163,96.04101048601646,30
41449810,162.59110189449245,400
41493227,70.20812927855629,36
41883681,69.61442138944857,40
41910081,58.18819318679279,14
41976895,108.7787313095385,166
42576680,148.99172361596723,110
42620607,63.6761708476439,70
42733933,83.01961158647441,189
42808385,157.23562781510333,85
43791006,62.80840571381219,37
43824425,306.4086802746542,600
43912022,62.879715999183304,38
44074982,86.51270073749455,39
44329395,108.3695443611203,70
44995311,108.38551376530711,86
45132322,78.12812177266466,69
45196257,55.62861690460113,26
45662358,78.09033529073966,36
45682479,95.40544559420977,226
45684418,107.72775260659662,114
45684558,81.81520800678663,102
45694226,79.17690270477173,62
45947679,157.22670071968116,36
46229903,199.80478641643037,181
46230233,161.02592182612875,181
46230308,161.02592182612875,181
46410873,188.49967743611165,330
48390775,64.19526285280111,132
48459666,83.98999004238212,149
48668601,158.72654089594906,116
48744106,71.58697849971206,46
48838055,156.39020169355283,287
49106791,157.4134306090993,201
49299373,89.22380035997375,155
49492382,160.06708459424405,200
49984968,63.12051328419749,37
50163017,89.23601154662026,58
50542040,102.66835319623394,93
50653968,159.42745124385948,119
50761696,145.32952239162697,110
